station_no,AADIRAJARAM,AYSHA,UDHAYANIDHI STALIN,MOHAMMED YASSER,IRFAN BASHA,SELVAM. D,AGNI AALVAR,ATHIMULAM,AYISHA,ARUMUGAM. C,KUMAR. M,SAAMY. S.K. DR,SEENIVASAN. L,SELVAM. K,SELVAM. K,SYEED LAYAK BHASHA,BHARATHKUMAR. G,MILANY. P,MIRZA SAFDER ALI,MOHAMED DHARIK. I,MOHAMED MEERA. A,RAJASEKAR. S,RAJESHKUMAR. K,VIJAYA KUMAR. B,SELVAM ( ALIAS ) VENKATESH,SELVAM ( ALIAS ) HARINARAYANAN,nota,rejected,total,total_valid
219,37,18,258,1,0,253,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,578,574
220,35,10,184,2,0,212,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,448,448
221,46,12,128,1,0,269,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,461,461
222,76,14,188,1,0,341,2,0,0,0,0,1,0,0,0,2,0,0,1,0,1,1,4,0,0,1,1,0,634,633
223,34,7,153,1,0,211,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,408,407
224,30,11,168,0,2,257,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,473,472
225,46,19,153,0,0,251,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,475,473
226,24,5,221,2,1,295,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,2,0,556,554
227,35,5,158,1,0,408,1,0,0,0,1,0,1,0,0,1,2,0,0,0,3,1,7,0,0,1,3,0,628,625
228,49,11,174,0,1,333,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,576,575
229,45,7,109,1,2,282,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,1,0,453,452
230,47,21,149,2,0,273,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,500,500
231,19,11,322,2,1,280,2,0,0,1,0,0,0,1,1,2,1,0,1,0,1,1,1,0,0,1,1,0,648,647
232,17,6,380,1,1,337,2,0,0,1,0,0,1,1,1,2,2,0,2,0,1,0,3,1,1,1,3,0,763,760
233,40,19,236,1,1,391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,696,695
234,36,25,192,1,1,423,3,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,2,0,0,0,1,0,691,690
235,70,29,256,1,1,477,1,0,0,0,1,0,0,1,1,2,1,0,2,3,2,4,2,2,0,0,3,0,858,855
